DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
72377,EMTEL,891502163-1,91,AMAZONAS,91405,LA CHORRERA,91407000,LA CHORRERA,DESCONECTADA,"-1,44135000","-72,79203000",2020-10-01,2022-06-30,2022-10-30,2022-12-31,6041,"265,24",35,10,"119630563,20"
71866,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73504,ORTEGA,73504000,CHAPINERO,DESCONECTADA,"3,48222000","-75,25944000",2019-12-03,2021-09-02,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71748,RED DE INGENIERIA S.A.S.,804012847-1,70,SUCRE,70124,CAIMITO,70124013,VEREDA NUEVA ESTRELLA,DESCONECTADA,"8,83000000","-75,07306000",2019-12-04,2021-09-03,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71733,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,DESCONECTADA,"6,93639000","-73,41417000",2019-12-09,2021-09-08,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71864,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73504,ORTEGA,73504025,PUENTE CUCUANA,DESCONECTADA,"3,98917000","-75,18167000",2019-11-29,2021-08-28,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71530,RED DE INGENIERIA S.A.S.,804012847-1,50,META,50577,PUERTO LLERAS,50577000,TIERRA GRATA,DESCONECTADA,"3,06111000","-73,38500000",2019-12-10,2021-09-09,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71023,RED DE INGENIERIA S.A.S.,804012847-1,05,ANTIOQUIA,05197,COCORNA,5197000,VEREDA LAS PLAYAS,DESCONECTADA,"6,07583000","-75,16056000",2019-12-05,2021-09-04,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72013,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25290,FUSAGASUGA,25290001,LA AGUADITA,DESCONECTADA,"4,38833000","-74,32444000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71927,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,76041006,EL VERGEL,DESCONECTADA,"4,85864000","-75,99644000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72195,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41298,GARZON,41298018,BAJO SARTENEJO,DESCONECTADA,"2,21333333","-75,62083333",2020-08-17,2022-02-16,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71751,RED DE INGENIERIA S.A.S.,804012847-1,70,SUCRE,70233,EL ROBLE,70233001,CALLEJON,DESCONECTADA,"9,92944000","-75,08667000",2019-11-29,2021-08-28,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71811,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73148,CARMEN DE APICALA,73148000,LA ANTIGUA,DESCONECTADA,"4,09555000","-74,76944000",2020-01-31,2021-10-30,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71902,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73675,SAN ANTONIO,73675004,VILLA HERMOSA,DESCONECTADA,"3,84891000","-75,48987000",2019-11-30,2021-08-29,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71504,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41807,TIMANA,41807014,SANTA BARBARA,DESCONECTADA,"1,88139000","-75,96944000",2019-12-05,2021-09-04,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71281,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20517,PAILITAS,20517002,CORREGIMIENTO RIVERA,DESCONECTADA,"9,00167000","-73,69389000",2019-12-26,2021-09-25,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71588,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54223,CUCUTILLA,54223004,VEREDA ROMAN,DESCONECTADA,"7,60924000","-72,74607000",2019-12-09,2021-09-08,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72408,EMTEL,891502163-1,08,ATLANTICO,08638,SABANALARGA,8638003,COLOMBIA,DESCONECTADA,"10,64094000","-75,00143000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,11049,"1218,66",83,10,"119630563,20"
71223,RED DE INGENIERIA S.A.S.,804012847-1,19,CAUCA,19473,MORALES,19473000,VEREDA EL DANUBIO,DESCONECTADA,"2,74250000","-76,73111000",2020-04-06,2022-01-05,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71460,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41357,IQUIRA,41357005,SAN LUIS,DESCONECTADA,"2,63861000","-75,69889000",2019-12-05,2021-09-04,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71453,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41298,GARZON,41298005,EL PARA�SO,DESCONECTADA,"2,17333000","-75,58083000",2019-11-30,2021-08-29,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71180,RED DE INGENIERIA S.A.S.,804012847-1,17,CALDAS,17867,VICTORIA,17867003,IZASA,DESCONECTADA,"5,31833000","-74,84444000",2019-12-17,2021-09-16,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72534,EMTEL,891502163-1,95,GUAVIARE,95200,MIRAFLORES,95200002,LAGOS DEL DORADO,DESCONECTADA,"1,20716000","-71,95333000",2020-10-01,2022-06-30,2022-10-30,2022-12-31,1592,"96,72",10,10,"119630563,20"
71799,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73026,ALVARADO,73026000,VEREDA CABECERA DEL LLANO,DESCONECTADA,"4,66806000","-74,98917000",2019-12-02,2021-09-01,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71484,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41615,RIVERA,41615001,LA ULLOA,DESCONECTADA,"2,81000000","-75,22583000",2019-11-27,2021-08-26,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71393,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25297,GACHETA,25297008,MUCHINDOTE,DESCONECTADA,"4,84830000","-73,57341000",2020-01-25,2021-10-24,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71303,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20787,TAMALAMEQUE,20787000,SITIO NUEVO,DESCONECTADA,"8,87389000","-73,74972000",2019-12-10,2021-09-09,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71824,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73168,CHAPARRAL,73168000,VEREDA ICARCO,DESCONECTADA,"3,64917000","-75,58444000",2019-12-08,2021-09-07,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71535,RED DE INGENIERIA S.A.S.,804012847-1,52,NARI�O,52110,BUESACO,52110030,CORREGIMIENTO SANTAFE,DESCONECTADA,"1,36000000","-77,04306000",2022-02-01,2022-06-30,2022-10-30,2022-12-31,1998,"429,67",81,9,"27692260,00"
71158,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15822,TOTA,15822000,CORALES,DESCONECTADA,"5,50222000","-73,00278000",2019-12-03,2021-09-02,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71822,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73168,CHAPARRAL,73168000,VEREDA ICARCO,DESCONECTADA,"3,64917000","-75,58444000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71473,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41001,NEIVA,41001002,CHAPINERO,DESCONECTADA,"2,89861000","-75,00472000",2019-12-04,2021-09-03,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72257,RED DE INGENIERIA S.A.S.,804012847-1,63,QUINDIO,63001,ARMENIA,63001001,EL CAIMO,DESCONECTADA,"4,47527778","-75,70888889",2020-08-07,2022-02-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72589,EMTEL,891502163-1,86,PUTUMAYO,86749,SIBUNDOY,86749000,LAS COCHAS,DESCONECTADA,"1,17541700","-76,93073000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,2039,"106,38",9,10,"119630563,20"
